Region,State,Physical inactivity
West,AK,0.234
West,AK,0.22
West,AK,0.205
West,AK,0.18
West,AK,0.283
West,AK,0.292
West,AK,0.288
West,AK,0.273
West,AK,0.225
West,AK,0.202
West,AK,0.227
West,AK,0.191
West,AK,0.17
West,AK,0.158
West,AK,0.237
West,AK,0.217
West,AK,0.22
West,AK,0.207
West,AK,0.2
West,AK,0.212
West,AK,0.281
West,AK,0.249
West,AK,0.247
West,AK,0.223
West,AK,0.255
West,AK,0.252
West,AK,0.274
West,AK,0.255
West,AK,0.299
West,AK,0.268
West,AK,0.264
West,AK,0.26
West,AK,0.187
West,AK,0.172
West,AK,0.23
West,AK,0.205
West,AK,0.227
West,AK,0.2
West,AK,0.238
West,AK,0.242
West,AK,0.272
West,AK,0.279
West,AK,0.217
West,AK,0.2
West,AK,0.263
West,AK,0.256
South,AL,0.294
South,AL,0.279
South,AL,0.276
South,AL,0.252
South,AL,0.35
South,AL,0.323
South,AL,0.37
South,AL,0.332
South,AL,0.35
South,AL,0.298
South,AL,0.325
South,AL,0.328
South,AL,0.369
South,AL,0.373
South,AL,0.333
South,AL,0.332
South,AL,0.387
South,AL,0.353
South,AL,0.342
South,AL,0.298
South,AL,0.315
South,AL,0.318
South,AL,0.379
South,AL,0.348
South,AL,0.37
South,AL,0.31
South,AL,0.394
South,AL,0.376
South,AL,0.347
South,AL,0.341
South,AL,0.306
South,AL,0.297
South,AL,0.307
South,AL,0.319
South,AL,0.373
South,AL,0.354
South,AL,0.318
South,AL,0.319
South,AL,0.385
South,AL,0.375
South,AL,0.339
South,AL,0.323
South,AL,0.315
South,AL,0.308
South,AL,0.311
South,AL,0.305
South,AL,0.345
South,AL,0.332
South,AL,0.313
South,AL,0.294
South,AL,0.309
South,AL,0.305
South,AL,0.387
South,AL,0.374
South,AL,0.338
South,AL,0.322
South,AL,0.321
South,AL,0.306
South,AL,0.374
South,AL,0.334
South,AL,0.345
South,AL,0.313
South,AL,0.365
South,AL,0.329
South,AL,0.383
South,AL,0.346
South,AL,0.303
South,AL,0.298
South,AL,0.331
South,AL,0.301
South,AL,0.323
South,AL,0.329
South,AL,0.299
South,AL,0.277
South,AL,0.373
South,AL,0.355
South,AL,0.326
South,AL,0.295
South,AL,0.348
South,AL,0.361
South,AL,0.264
South,AL,0.241
South,AL,0.303
South,AL,0.31
South,AL,0.36
South,AL,0.321
South,AL,0.33
South,AL,0.32
South,AL,0.263
South,AL,0.246
South,AL,0.344
South,AL,0.338
South,AL,0.423
South,AL,0.366
South,AL,0.351
South,AL,0.32
South,AL,0.307
South,AL,0.289
South,AL,0.346
South,AL,0.339
South,AL,0.293
South,AL,0.281
South,AL,0.301
South,AL,0.288
South,AL,0.335
South,AL,0.336
South,AL,0.347
South,AL,0.317
South,AL,0.326
South,AL,0.294
South,AL,0.349
South,AL,0.338
South,AL,0.352
South,AL,0.326
South,AL,0.245
South,AL,0.222
South,AL,0.34
South,AL,0.291
South,AL,0.312
South,AL,0.312
South,AL,0.36
South,AL,0.367
South,AL,0.321
South,AL,0.308
South,AL,0.285
South,AL,0.279
South,AL,0.384
South,AL,0.358
South,AL,0.321
South,AL,0.309
South,AL,0.33
South,AL,0.316
South,AL,0.351
South,AL,0.333
South,AR,0.392
South,AR,0.354
South,AR,0.374
South,AR,0.333
South,AR,0.309
South,AR,0.298
South,AR,0.266
South,AR,0.246
South,AR,0.33
South,AR,0.31
South,AR,0.343
South,AR,0.346
South,AR,0.364
South,AR,0.352
South,AR,0.305
South,AR,0.295
South,AR,0.35
South,AR,0.359
South,AR,0.318
South,AR,0.305
South,AR,0.365
South,AR,0.364
South,AR,0.308
South,AR,0.332
South,AR,0.287
South,AR,0.302
